"Codice";"Nome";"Inizio";"Fine";"Tipo";"Quota";"Comune";"Provincia";"Sensori";"Epsg3003_X";"Epsg3003_Y";"Epsg4258_Lat";"Epsg4258_Lon";"Bacino";"SottoBacino";"ZonaAllerta"
718;"Barillari";01/01/2000;;"FREAT";11;"ABANO TERME (PD)";"PD";"LFREAT, TFREAT";1718201.215;5025926.775;45.35269445;11.78527778;"";"";" ";
719;"Fonte Colli Euganei";01/01/2000;;"FREAT";9.5;"MONTEGROTTO TERME (PD)";"PD";"LFREAT, TFREAT";1718371.576;5022327.045;45.32027778;11.78586112;"";"";" ";
720;"Mezzavia";01/01/2000;;"FREAT";10;"MONTEGROTTO TERME (PD)";"PD";"LFREAT, TFREAT";1719307.798;5023110.299;45.32702778;11.79813888;"";"";" ";
721;"Molino";01/01/2000;;"FREAT";11;"ABANO TERME (PD)";"PD";"LFREAT, TFREAT";1717403.943;5025862.154;45.35236111;11.77508334;"";"";" ";
722;"Moro";01/01/2000;;"FREAT";25;"GALZIGNANO (PD)";"PD";"LFREAT, TFREAT";1715970.497;5020770.703;45.30702778;11.75458333;"";"";" ";
723;"Rigati";01/01/2000;;"FREAT";8.5;"ABANO TERME (PD)";"PD";"LFREAT, TFREAT";1717636.388;5024177.051;45.33713889;11.77730556;"";"";" ";
725;"Toson";01/01/2000;;"FREAT";12;"ABANO TERME (PD)";"PD";"LFREAT, TFREAT";1716504.883;5026096.92;45.35475;11.76372222;"";"";" ";
726;"Romana";01/01/2000;;"FREAT";11.5;"MONTEGROTTO TERME (PD)";"PD";"LFREAT, TFREAT";1718683.24;5024716.876;45.34166667;11.79088889;"";"";" ";
727;"Commodor";01/01/2000;;"FREAT";8.5;"MONTEGROTTO TERME (PD)";"PD";"LFREAT, TFREAT";1718188.165;5022966.435;45.32608333;11.78380556;"";"";" ";
728;"Bonato";01/01/2000;;"FREAT";10;"ABANO TERME (PD)";"PD";"LFREAT, TFREAT";1718376.084;5025280.91;45.34683334;11.78722222;"";"";" ";
729;"Sgaravatti 2";01/12/2014;;"FREAT";0;"MONTEGROTTO TERME (PD)";"PD";"LFREAT, TFREAT";1718891;5023099;;;"";"";" ";
1014;"Castelfranco Parco Villa Bolasco";12/09/2018;;"FREAT";42.75;"CASTELFRANCO VENETO (TV)";"TV";"CONDUC, LFREAT, TFREAT";1728497.843;5062149.119;45.675022;11.933445;"";"";" ";
1021;"Montebello Pra'";01/01/2000;;"FREAT";;"MONTEBELLO VICENTINO (VI)";"VI";"CONDUC, LFREAT, TFREAT";1685066;5035141;45.44509546;11.36612222;"";"";" ";
1022;"Zermeghedo";01/01/2000;;"FREAT";;"ZERMEGHEDO (VI)";"VI";"CONDUC, LFREAT, TFREAT";1685498;5038972;45.4794342;11.3730879;"";"";" ";
1031;"Tezze via Valbruna";01/01/2015;;"FREAT";;"ARZIGNANO (VI)";"VI";"CONDUC, LFREAT, TFREAT";1685017;5045880;45.54168676;11.36954599;"";"";" ";
1032;"Tezze via Prati";01/01/2000;;"FREAT";;"ARZIGNANO (VI)";"VI";"CONDUC, LFREAT, TFREAT";1685498;5038972;45.4794342;11.3730879;"";"";" ";
1033;"Costo località Busa";15/03/2016;;"FREAT";85;"ARZIGNANO (VI)";"VI";"CONDUC, LFREAT, TFREAT";1684981;5043251;45.51805349;11.36809247;"";"";" ";
1041;"Malo via Rivalta";01/01/2000;;"FREAT";146.1;"MALO (VI)";"VI";"CONDUC, LFREAT, TFREAT";1686745;5061741;45.68385983;11.3977338;"";"";" ";
1042;"Malo via Lapeo";01/01/2000;;"FREAT";106.6;"MALO (VI)";"VI";"CONDUC, LFREAT, TFREAT";1689797;5059280;45.66090035;11.43592984;"";"";" ";
1056;"Bassano ETRA";01/01/2000;;"FREAT";;"BASSANO DEL GRAPPA (VI)";"VI";"CONDUC, LFREAT, TFREAT";1710768;5067762;45.7311019;11.70851157;"";"";" ";
1071;"Spineda via Fonte";01/01/2000;;"FREAT";;"RIESE PIO X (TV)";"TV";"CONDUC, LFREAT, TFREAT";1723179;5070721;45.75380916;11.86918684;"";"";" ";
1072;"Spineda volley";01/01/2000;;"FREAT";;"RIESE PIO X (TV)";"TV";"CONDUC, LFREAT, TFREAT";1724005;5070507;45.75161836;11.87969452;"";"";" ";
1074;"Spineda via Fornasette";01/01/2000;;"FREAT";;"RIESE PIO X (TV)";"TV";"CONDUC, LFREAT, TFREAT";1724934;5070356;45.74995941;11.89155311;"";"";" ";
2000;"Idrometro di Fontaniva";25/07/2017;;"FREAT";34.41;"NOVE (VI)";"VI";"LFREAT, TFREAT";;;;;"";"";" ";
2001;"Piezometro monitoraggio Brenta PZ1";25/07/2017;;"FREAT";82.61;"NOVE (VI)";"VI";"LFREAT, TFREAT";1709322.69;5066730.708;45.7222688;11.68951167;"";"";" ";
2002;"Piezometro monitoraggio Brenta PZ2";25/07/2017;;"FREAT";82.66;"CARTIGLIANO (VI)";"VI";"LFREAT, TFREAT";1709728.405;5066592.248;45.72090113;11.69465945;"";"";" ";
2003;"Piezometro monitoraggio Brenta PZ3";25/07/2017;;"FREAT";72.31;"NOVE (VI)";"VI";"LFREAT, TFREAT";1708786.377;5064889.411;45.70587635;11.68183511;"";"";" ";
2004;"Piezometro monitoraggio Brenta PZ4";25/07/2017;;"FREAT";75.87;"CARTIGLIANO (VI)";"VI";"LFREAT, TFREAT";1709268.662;5065120.297;45.70780657;11.68812341;"";"";" ";
2006;"Piezometro monitoraggio Brenta PZ6";25/07/2017;;"FREAT";69.58;"CARTIGLIANO (VI)";"VI";"LFREAT, TFREAT";1709417.82;5063358.754;45.6919241;11.68927758;"";"";" ";
2007;"Piezometro monitoraggio Brenta PZ7";25/07/2017;;"FREAT";61.29;"POZZOLEONE (VI)";"VI";"LFREAT, TFREAT";1709211.342;5061151.202;45.67213911;11.68567822;"";"";" ";
2009;"Piezometro monitoraggio Brenta PZ9";25/07/2017;;"FREAT";51.08;"CARMIGNANO DI BRENTA (PD)";"PD";"LFREAT, TFREAT";1711154.511;5059238.801;45.65435645;11.70976742;"";"";" ";
2010;"Piezometro monitoraggio Brenta PZ10";25/07/2017;;"FREAT";53.04;"CITTADELLA (PD)";"PD";"LFREAT, TFREAT";1711369.131;5059588.66;45.65743651;11.71267086;"";"";" ";
2011;"Piezometro monitoraggio Brenta PZ11";25/07/2017;;"FREAT";48.35;"FONTANIVA (PD)";"PD";"LFREAT, TFREAT";1711690.508;5057638.577;45.63980624;11.71594288;"";"";" ";
2013;"Piezometro monitoraggio Brenta PZ13";25/07/2017;;"FREAT";38.07;"FONTANIVA (PD)";"PD";"LFREAT, TFREAT";1713366.549;5056370.17;45.62788955;11.7368681;"";"";" ";
2014;"Piezometro monitoraggio Brenta PZ14";25/07/2017;;"FREAT";36.89;"FONTANIVA (PD)";"PD";"LFREAT, TFREAT";1713350.23;5056760.013;45.6313994;11.73682973;"";"";" ";
