"Codice";"Nome";"Inizio";"Fine";"Tipo";"Quota";"Comune";"Provincia";"Sensori";"Epsg3003_X";"Epsg3003_Y";"Epsg4258_Lat";"Epsg4258_Lon";"Bacino";"SottoBacino";"ZonaAllerta"
48;"Podestagno (Cortina d'Ampezzo)";01/01/1985;;"METEO";1316;"CORTINA D'AMPEZZO (BL)";"BL";"DVENTO5M, DVENTO5M, ET0, LIDRO, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1738424.428;5164737.027;46.59362172;12.11232905;"PIAVE: VENETO";"PIAVE - Boite";"Vene-A Alto Piave";
49;"Boite a Cortina Campo";06/03/1985;14/09/2000;"IDRO";1123;"CORTINA D'AMPEZZO (BL)";"BL";"LIDRO, LIDRO, PORT";1740436;5156955;46.52297793;12.13447133;"PIAVE: VENETO";"PIAVE - Boite";"Vene-A Alto Piave";
50;"Villanova (Borca di Cadore)";07/12/1984;;"METEO";967;"BORCA DI CADORE (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1746301.73;5148320.301;46.44327375;12.20626034;"PIAVE: VENETO";"PIAVE - Boite";"Vene-A Alto Piave";
51;"Boite a Cancia";11/07/1985;04/04/2019;"IDRO";883;"BORCA DI CADORE (BL)";"BL";"LIDRO, LIDRO, LIDROMAX, LIDROMAX, LIDROMIN, LIDROMIN, PORT";1747577;5147034;46.43124984;12.22215426;"PIAVE: VENETO";"PIAVE - Boite";"Vene-A Alto Piave";
52;"Col di Varda";09/11/1984;01/02/1993;"METEO";2129;"AURONZO DI CADORE (BL)";"BL";"PREC, TARIA2M";1750369;5162589;46.56997714;12.26680726;"PIAVE: VENETO";"PIAVE: ANSIEI";"Vene-A Alto Piave";
53;"Auronzo";09/11/1984;;"METEO";849;"AURONZO DI CADORE (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1762629;5161582;46.55625348;12.42593677;"PIAVE: VENETO";"PIAVE: ANSIEI";"Vene-A Alto Piave";
54;"Ansiei a Ponte Malon";08/05/1985;13/07/2004;"IDRO";838;"AURONZO DI CADORE (BL)";"BL";"LIDRO, LIDRO, LIDROMAX, LIDROMAX, LIDROMIN, LIDROMIN, PORT";1763038;5161150;46.55221295;12.43101791;"PIAVE: VENETO";"PIAVE: ANSIEI";"Vene-A Alto Piave";
55;"Pian del Crep (Val di Zoldo)";21/01/1985;;"METEO";1741;"VAL DI ZOLDO (BL)";"BL";"ET0, PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M";1737890;5140871;46.37934829;12.09312208;"PIAVE: VENETO";"PIAVE - Maé";"Vene-A Alto Piave";
56;"Forno di Zoldo - Campo";01/01/1985;;"METEO";872;"VAL DI ZOLDO (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1745068;5137519;46.34666725;12.1845653;"PIAVE: VENETO";"PIAVE - Maé";"Vene-A Alto Piave";
57;"Mae' alle Boccole";09/05/1985;07/05/2009;"IDRO";788;"VAL DI ZOLDO (BL)";"BL";"LIDRO, LIDRO, LIDROMAX, LIDROMAX, LIDROMIN, LIDROMIN";1746700;5136895;46.34046802;12.20541299;"PIAVE: VENETO";"PIAVE - Maé";"Vene-A Alto Piave";
58;"Santo Stefano di Cadore";23/12/1984;;"METEO";902;"SANTO STEFANO DI CADORE (BL)";"BL";"DVENTO10M, DVENTO10M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA10M, VRAFFICA5M, VSFIL10M, VSFIL5M, VVENTO10M, VVENTO5M, VVMEDARIT10M, VVMEDARIT5M";1772328.375;5162116.437;46.55719592;12.55254488;"PIAVE: VENETO";"PIAVE";"Vene-A Alto Piave";
